1000000 , 9
1000001 , 3
1000002 , 3
1000003 , 6
1000004 , 9
1000005 , 10
1000006 , 6
1000007 , 7
1000008 , 6
1000009 , 8
1000010 , 4
1000011 , 3
1000012 , 8
1000013 , 3
1000014 , 3
1000015 , 10
1000016 , 5
1000017 , 6
1000018 , 1
1000019 , 1
1000020 , 2
1000021 , 1
1000022 , 3
1000023 , 7
1000024 , 5
1000025 , 6
1000026 , 4
1000027 , 6
1000028 , 10
1000029 , 10
1000030 , 7
1000031 , 4
1000032 , 3
1000033 , 3
1000034 , 9
1000035 , 7
1000036 , 9
1000037 , 7
1000038 , 6
1000039 , 5
1000040 , 3
1000041 , 1
1000042 , 2
1000043 , 4
1000044 , 1
1000045 , 6
1000046 , 6
1000047 , 9
1000048 , 3
1000049 , 9
